任务：远程软件,生成时间：2026-06-14 20:53:41,本次投递数：31,统计区间：2026-06-14 18:00:39 起
序号,公司,职位,城市/来源,投递时间
1,琦焕科技,ERP开发工程师-远程面试,北京,2026-06-14 18:13:22
2,神州通誉,大模型性能测试（远程面试）,北京,2026-06-14 18:13:51
3,某小型互联网AI应用公司,2d资深游戏原画师(可远程）,北京,2026-06-14 18:14:19
4,深瞳科技,酷家乐效果图设计师（不坐班远程接单）,北京,2026-06-14 18:14:48
5,北京果壳智算科技,远程前端开发兼职/项目外包,北京,2026-06-14 18:15:13
6,北京某中型人工智能自动驾驶物流科技公司,远程驾驶架构师,北京,2026-06-14 18:35:12
7,某大型基金公司,ai架构工程师【可远程】,北京,2026-06-14 18:36:45
8,北京某大型集成电路IC行业公司,全球领先web3-算法（大模型/搜推 远程）,北京,2026-06-14 18:40:12
9,某知名互联网电商平台,电商iOS 开发专家-口语好-外企远程办公,北京,2026-06-14 18:43:30
10,飞腾公司,底层软件工程师,北京,2026-06-14 18:44:15
11,晨星创投,教育AI智能体开发工程师（兼职/远程）,北京,2026-06-14 18:47:05
12,索邦智慧,[远程/兼职]资深前端全栈开发（Antd 专家）,北京,2026-06-14 18:49:43
13,某大型社交网络与媒体公司,AI后端开发工程（远程办公）,北京,2026-06-14 18:50:15
14,磐康股份,远程Taro专家,北京,2026-06-14 18:54:47
15,北京某大型集成电路高端工艺装备上市公司,软件开发（上位机）,北京,2026-06-14 18:55:15
16,硕兴贸易,兼职嵌入式软件开发工程师,北京,2026-06-14 18:55:47
17,北京某中型自动驾驶物流装备研发公司,远程驾驶架构师,北京,2026-06-14 18:56:14
18,某大型跨区域互联网公司,高级软件开发专家,北京,2026-06-14 18:56:40
19,某中型奢侈品电子商务上市公司,java专家（P7+/P8）+远程办公+电商行业,北京,2026-06-14 18:58:41
20,北京某大型互联网上市公司,AI 前端/全栈开发（全国远程办公）,北京,2026-06-14 18:59:31
21,Web3.x,QD量化系统开发(二元期权)-远程,北京,2026-06-14 19:04:33
22,麦索科技,高级前端开发工程师（远程）,北京,2026-06-14 19:21:01
23,龙成集团,软件架构师（工业互联网方向）,北京,2026-06-14 19:21:32
24,弈酷高科技,资深软件开发工程师,北京,2026-06-14 19:22:07
25,北京全栈云科技,node.js开发实习生（可远程线上）,北京,2026-06-14 19:27:56
26,网龙,【AI应用】高级软件开发工程师,北京,2026-06-14 19:31:12
27,北京极致印象国际...,高级软件工程师,北京,2026-06-14 19:31:59
28,艾维登信息科技,SAP SD.FICO.MM顾问(远程办公),北京,2026-06-14 19:32:27
29,飞渡科技股份有限公司,远程博士AI算法实习生,北京,2026-06-14 19:32:56
30,三行科技,软件开发部门经理,北京,2026-06-14 19:33:25
31,哈啰普惠,软件⼯程师(远程驾驶-系统相关),上海,2026-06-14 19:47:16
