搜索内容：远程 软件,生成时间：2026-06-13 17:34:22,投递总数：139,完成城市：北京
76,乐兔未来,大数据开发工程师（远程）,成都,2026-06-12 18:01:21
77,拓维云创,Java开发工程师（双休+远程面试）,成都,2026-06-12 18:04:34
78,郑州熵灵科技有限公司,线上兼职可远程办公,郑州,2026-06-12 18:18:35
79,三盈科技,远程 Java 全栈开发（25k 起 独立负责）,重庆,2026-06-12 18:42:41
80,中冶赛迪集团有限公司,数据分析/算法实习生（可远程线上）,重庆,2026-06-12 18:58:33
81,某大型电子商务公司,AI大模型运维开发SRE专家,深圳,2026-06-12 22:55:55
82,某人工智能公司,大模型数据算法工程师,深圳,2026-06-12 22:56:36
83,某大型国际OTO平台公司,AI大模型负责人,深圳,2026-06-12 22:57:10
84,深圳鼎匠创新科技,AI大模型工程师,深圳,2026-06-12 23:00:01
85,某大型互联网快递公司,大模型算法,深圳,2026-06-12 23:02:03
86,某中型人工智能公司,高级ai工程师,tab-机器学习,2026-06-12 23:27:29
87,中策大数据,ai专家,tab-机器学习,2026-06-12 23:28:03
88,某大型医疗健康上市公司（国企背景）,AI架构主任,tab-机器学习,2026-06-12 23:28:35
89,某知名互联网公司,AI平台开发工程师/专家,tab-机器学习,2026-06-12 23:29:09
90,某大型互联网公司,大模型应用算法专家,tab-机器学习,2026-06-12 23:29:45
91,某大型消费电子公司,AI开发,tab-机器学习,2026-06-12 23:30:14
92,深圳某大型保险上市公司,大模型应用工程师,tab-机器学习,2026-06-12 23:31:05
93,某中型人工智能公司,AI方向实习生-base北上广或居家都可,tab-机器学习,2026-06-12 23:31:41
94,云智达创,大模型应用开发工程师（Agent 方向）,tab-机器学习,2026-06-12 23:32:40
95,蓝岸一凝,agent全栈工程师,tab-机器学习,2026-06-12 23:33:12
96,深眸智现,后端开发工程师（AI创新应用）,tab-机器学习,2026-06-12 23:33:39
97,某电子商务公司,高级全栈开发工程师（AI开发经验・偏后端）,tab-机器学习,2026-06-12 23:34:09
98,某中型人工智能研发公司,agent全栈工程师,tab-机器学习,2026-06-12 23:34:35
99,上海某小型汽车研发/制造公司,效能研发工程师/架构师（DevOps AI方向）,tab-机器学习,2026-06-12 23:35:00
100,深圳某小型人工智能获资本融资公司,全栈开发工程师（CTO储备）,tab-机器学习,2026-06-12 23:35:50
101,城觅科技,AI原生工程师,tab-机器学习,2026-06-12 23:36:19
102,合生和,AI开发经理【50-80w＋16年不拖薪】,tab-机器学习,2026-06-12 23:36:56
103,北京某中型计算机软件公司,AI后端工程师（远程办公）,北京,2026-06-13 11:30:14
104,天蚕科技,技术兼职（美团·远程·全国可投),北京,2026-06-13 11:32:55
105,时代传浮,ML Engineer(远程办公),北京,2026-06-13 11:33:47
106,北京中佳众合科技,python开发远程居家办公,北京,2026-06-13 11:34:14
107,新加坡某大型互联网券商上市公司,资深golang开发工程师-可远程,北京,2026-06-13 11:34:53
108,北京纵横物理科技,视频生成动作具身算法实习生（大部分远程）,北京,2026-06-13 11:36:05
109,芒果人网络科技,web3后端开发工程师-远程,北京,2026-06-13 11:36:21
110,相信光网络科技,前端架构师（远程办公）,北京,2026-06-13 11:36:39
111,盈养科技,软件开发实习生（远程）,北京,2026-06-13 11:37:10
112,某大型计算机服务公司,Rust开发工程师（远程）,北京,2026-06-13 11:38:22
113,上海往联互联网上...,AI应用/Agent研发负责人 CTO-可远程,北京,2026-06-13 11:38:40
114,云南野火教育信息咨询,软件工程师/全栈开发工程师（全职远程）,北京,2026-06-13 11:38:57
115,合溢网络科技,可观测技术开发工程师（远程）,北京,2026-06-13 11:39:14
116,ACE Studio,【全职远程】资深全栈工程师,北京,2026-06-13 11:39:58
117,石墨文档,资深前端开发工程师--远程，全国可招,北京,2026-06-13 11:40:31
118,橙溪,数据挖掘工程师-远程,北京,2026-06-13 11:40:50
119,北京某中型自动驾驶物流科技公司,远程驾驶架构师,北京,2026-06-13 11:41:35
120,某大型计算机服务公司,安卓软件可远程办公（Kotlin+AI方向）,北京,2026-06-13 11:42:06
121,北京懒点科技有限公司,高级软件工程师（远程/兼职/项目制）,北京,2026-06-13 11:42:44
122,盛有科技,pyqt兼职、远程办公,北京,2026-06-13 11:42:55
123,爱得,ai应用开发工程师（远程）,北京,2026-06-13 11:43:57
124,北京某大型移动互联网公司,前端开发负责人（远程）,北京,2026-06-13 11:44:27
125,成都原三维科技,三维重建，SLAM实习生，可远程,北京,2026-06-13 11:44:45
126,中国科学院软件研究所,远程-中国科学院软件研究所Linux开发工程师,北京,2026-06-13 11:45:05
127,某大型知名互联网公司,云平台开发工程师（远程，golang）,北京,2026-06-13 11:45:22
128,深圳市力天合创投资,远程—交易所 App开发工程师—熟悉Flutter,北京,2026-06-13 11:47:58
129,某知名企业,高级前端工程师（远程办公）,北京,2026-06-13 11:48:13
130,上海元界迅擎科技,【AI 远程】后端开发工程师,北京,2026-06-13 11:50:00
131,原力灵机,远程遥操系统开发工程师,北京,2026-06-13 11:51:13
132,匆年科技,推荐算法专家（3-1）——远程,北京,2026-06-13 11:51:57
133,华视信诚,大数据工程师（远程）,北京,2026-06-13 11:52:52
134,acttec,陪伴机器人功能AI软件开发(兼职),北京,2026-06-13 11:54:01
135,某大型基金公司,mev区块链工程师（远程区块链实习/全职）,北京,2026-06-13 11:54:42
136,北京天擎千鑫科技,Java架构师（外企远程）,北京,2026-06-13 11:55:11
137,北京超原子安科技,海外风控模型工程师-互金远程办公,北京,2026-06-13 11:55:35
138,Web3.x,Golang开发工程师（可远程）,北京,2026-06-13 11:57:20
139,海利普科贸,Flutter 开发工程师（支持远程）,北京,2026-06-13 11:59:12
