任务：远程软件,生成时间：2026-06-15 00:36:40,本次投递数：7,统计区间：2026-06-14 21:03:11 起
序号,公司,职位,城市/来源,投递时间
1,北京果壳智算科技,远程前端开发兼职/项目外包,北京,2026-06-14 21:16:24
2,集思广证,区块链安全实习生 （可远程）,北京,2026-06-14 21:19:49
3,琦焕科技,ERP开发工程师-远程面试,北京,2026-06-14 21:25:51
4,某大型基金公司,ai架构工程师【可远程】,北京,2026-06-14 21:27:48
5,北京某大型集成电路IC行业公司,全球领先web3-算法（大模型/搜推 远程）,北京,2026-06-14 21:30:37
6,万物共生,嵌入式硬件开发工程师（兼职 | 远程可选）,北京,2026-06-14 21:34:45
7,链图科技,后端开发工程师（Web3/DEX/远程办公),北京,2026-06-14 21:35:16
